RESULTADOS EJECUCIONES BRUTE FORCE 
INPUT: [Enfermeras=7, DIAS=2, DEMANDA=2, LS=1, US=1] 
INPUT: [Enfermeras=7, DIAS=2, DEMANDA=2, LS=2, US=2] 
INPUT: [Enfermeras=10, DIAS=2, DEMANDA=3, LS=1, US=1] 
INPUT: [Enfermeras=10, DIAS=2, DEMANDA=3, LS=2, US=2] 
INPUT: [Enfermeras=7, DIAS=3, DEMANDA=2, LS=1, US=2] 
INPUT: [Enfermeras=7, DIAS=3, DEMANDA=2, LS=2, US=2] 
INPUT: [Enfermeras=7, DIAS=3, DEMANDA=2, LS=3, US=3] 
INPUT: [Enfermeras=10, DIAS=3, DEMANDA=3, LS=1, US=2] 
INPUT: [Enfermeras=10, DIAS=3, DEMANDA=3, LS=2, US=2] 
INPUT: [Enfermeras=10, DIAS=3, DEMANDA=3, LS=3, US=3] 
INPUT: [Enfermeras=7, DIAS=4, DEMANDA=2, LS=1, US=1] 
INPUT: [Enfermeras=7, DIAS=4, DEMANDA=2, LS=2, US=2] 
INPUT: [Enfermeras=7, DIAS=4, DEMANDA=2, LS=3, US=3] 
INPUT: [Enfermeras=7, DIAS=4, DEMANDA=2, LS=4, US=4] 
INPUT: [Enfermeras=10, DIAS=4, DEMANDA=3, LS=1, US=3] 
INPUT: [Enfermeras=10, DIAS=4, DEMANDA=3, LS=2, US=3] 
INPUT: [Enfermeras=10, DIAS=4, DEMANDA=3, LS=3, US=3] 
INPUT: [Enfermeras=10, DIAS=4, DEMANDA=3, LS=4, US=4] 
INPUT: [Enfermeras=7, DIAS=5, DEMANDA=2, LS=1, US=3] 
INPUT: [Enfermeras=7, DIAS=5, DEMANDA=2, LS=2, US=2] 
INPUT: [Enfermeras=7, DIAS=5, DEMANDA=2, LS=3, US=4] 
INPUT: [Enfermeras=7, DIAS=5, DEMANDA=2, LS=4, US=4] 
INPUT: [Enfermeras=7, DIAS=5, DEMANDA=2, LS=5, US=5] 
INPUT: [Enfermeras=10, DIAS=5, DEMANDA=3, LS=1, US=3] 
INPUT: [Enfermeras=10, DIAS=5, DEMANDA=3, LS=2, US=4] 
INPUT: [Enfermeras=10, DIAS=5, DEMANDA=3, LS=3, US=4] 
INPUT: [Enfermeras=10, DIAS=5, DEMANDA=3, LS=4, US=4] 
INPUT: [Enfermeras=10, DIAS=5, DEMANDA=3, LS=5, US=5] 
